route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.03,4343,34732,1.00498,0,164.086,867,3.85911,0.241194,2.41761e-06,4.42362e-07,1.97525e-06
XY,0.031,4363,34883,0.976787,0,189.321,1204,3.87589,0.242243,2.41479e-06,4.39543e-07,1.97525e-06
XY,0.031,4494,35956,1.00683,0,239.67,1738,3.99511,0.249694,2.43168e-06,4.56427e-07,1.97525e-06
XY,0.031,4421,35365,0.990283,0,239.749,1378,3.92944,0.24559,2.42841e-06,4.53162e-07,1.97525e-06
XY,0.031,4421,35365,0.990283,0,239.749,1378,3.92944,0.24559,2.42841e-06,4.53162e-07,1.97525e-06
XY,0.031,4398,35184,0.985215,0,194.59,1377,3.90933,0.244333,2.42151e-06,4.46261e-07,1.97525e-06
XY,0.032,4555,36438,0.988444,0,202.468,1156,4.04867,0.253042,2.43577e-06,4.60515e-07,1.97525e-06
XY,0.032,4490,35918,0.974338,0,265.586,1531,3.99089,0.249431,2.43023e-06,4.54975e-07,1.97525e-06
XY,0.032,4460,35669,0.967584,0,255.441,1175,3.96322,0.247701,2.4301e-06,4.5485e-07,1.97525e-06
XY,0.032,4460,35669,0.967584,0,255.441,1175,3.96322,0.247701,2.4301e-06,4.5485e-07,1.97525e-06
XY,0.032,4463,35699,0.968397,0,231.109,1125,3.96656,0.24791,2.43417e-06,4.58915e-07,1.97525e-06
XY,0.033,4597,36796,0.967908,0,258.012,1570,4.08844,0.255528,2.44459e-06,4.69339e-07,1.97525e-06
XY,0.033,4597,36796,0.967908,0,258.012,1570,4.08844,0.255528,2.44459e-06,4.69339e-07,1.97525e-06
XY,0.033,4532,36231,0.953046,0,270.493,1623,4.02567,0.251604,2.4376e-06,4.62349e-07,1.97525e-06
XY,0.033,4532,36231,0.953046,0,270.493,1623,4.02567,0.251604,2.4376e-06,4.62349e-07,1.97525e-06
XY,0.033,4472,35787,0.941367,0,194.041,1063,3.97633,0.248521,2.43175e-06,4.56495e-07,1.97525e-06
XY,0.034,4520,36145,0.92282,0,348.544,2098,4.01611,0.251007,2.44121e-06,4.65962e-07,1.97525e-06
XY,0.034,4600,36798,0.939491,0,436.301,2324,4.08867,0.255542,2.44595e-06,4.70701e-07,1.97525e-06
XY,0.034,4549,36402,0.929381,0,402.96,3014,4.04467,0.252792,2.44316e-06,4.67914e-07,1.97525e-06
XY,0.034,4549,36402,0.929381,0,402.96,3014,4.04467,0.252792,2.44316e-06,4.67914e-07,1.97525e-06
XY,0.034,4577,36619,0.934921,0,333.738,1696,4.06878,0.254299,2.44e-06,4.64748e-07,1.97525e-06
XY,0.035,4503,36021,0.893378,0,500.597,1904,4.00233,0.250146,2.441e-06,4.65747e-07,1.97525e-06
XY,0.035,4503,36021,0.893378,0,500.597,1904,4.00233,0.250146,2.441e-06,4.65747e-07,1.97525e-06
XY,0.035,4710,37673,0.93435,0,436.553,2883,4.18589,0.261618,2.45755e-06,4.82301e-07,1.97525e-06
XY,0.035,4710,37673,0.93435,0,436.553,2883,4.18589,0.261618,2.45755e-06,4.82301e-07,1.97525e-06
XY,0.035,4527,36225,0.898437,0,722.561,2592,4.025,0.251563,2.44343e-06,4.68178e-07,1.97525e-06
XY,0.036,4562,36502,0.88016,0,737.054,3109,4.05578,0.253486,2.44472e-06,4.69469e-07,1.97525e-06
XY,0.036,4562,36502,0.88016,0,737.054,3109,4.05578,0.253486,2.44472e-06,4.69469e-07,1.97525e-06
XY,0.036,4591,36726,0.885561,0,590.941,2433,4.08067,0.255042,2.44399e-06,4.68742e-07,1.97525e-06
XY,0.036,4591,36726,0.885561,0,590.941,2433,4.08067,0.255042,2.44399e-06,4.68742e-07,1.97525e-06
XY,0.036,4752,38021,0.916787,0,754.669,2505,4.22456,0.264035,2.46482e-06,4.8957e-07,1.97525e-06
XY,0.037,4542,36343,0.852642,0,824.886,3283,4.03811,0.252382,2.44927e-06,4.74017e-07,1.97525e-06
XY,0.037,4542,36343,0.852642,0,824.886,3283,4.03811,0.252382,2.44927e-06,4.74017e-07,1.97525e-06
XY,0.037,4650,37195,0.87263,0,750.649,2766,4.13278,0.258299,2.45547e-06,4.80214e-07,1.97525e-06
XY,0.037,4606,36859,0.864748,0,680.66,2737,4.09544,0.255965,2.44724e-06,4.71993e-07,1.97525e-06
XY,0.037,4606,36859,0.864748,0,680.66,2737,4.09544,0.255965,2.44724e-06,4.71993e-07,1.97525e-06
XY,0.038,4683,37467,0.85588,0,932.469,2807,4.163,0.260188,2.45578e-06,4.80533e-07,1.97525e-06
XY,0.038,4683,37467,0.85588,0,932.469,2807,4.163,0.260188,2.45578e-06,4.80533e-07,1.97525e-06
XY,0.038,4657,37226,0.850375,0,894.358,2902,4.13622,0.258514,2.45694e-06,4.81688e-07,1.97525e-06
XY,0.038,4703,37640,0.859832,0,799.279,3478,4.18222,0.261389,2.45446e-06,4.79208e-07,1.97525e-06
XY,0.038,4703,37640,0.859832,0,799.279,3478,4.18222,0.261389,2.45446e-06,4.79208e-07,1.97525e-06
XY,0.039,4583,36654,0.815839,0,996.949,2954,4.07267,0.254542,2.44969e-06,4.74442e-07,1.97525e-06
XY,0.039,4658,37261,0.829349,0,1007.14,3785,4.14011,0.258757,2.4502e-06,4.74953e-07,1.97525e-06
XY,0.039,4658,37261,0.829349,0,1007.14,3785,4.14011,0.258757,2.4502e-06,4.74953e-07,1.97525e-06
XY,0.039,4674,37387,0.832154,0,943.101,3055,4.15411,0.259632,2.45912e-06,4.83872e-07,1.97525e-06
XY,0.039,4699,37573,0.836294,0,973.561,2923,4.17478,0.260924,2.45557e-06,4.80316e-07,1.97525e-06
XY,0.04,4605,36838,0.799436,0,1240.64,3797,4.09311,0.255819,2.44812e-06,4.72868e-07,1.97525e-06
XY,0.04,4642,37144,0.806076,0,1140.15,3723,4.12711,0.257944,2.4584e-06,4.83153e-07,1.97525e-06
XY,0.04,4642,37125,0.805664,0,1237.55,3864,4.125,0.257812,2.45326e-06,4.78013e-07,1.97525e-06
XY,0.04,4642,37125,0.805664,0,1237.55,3864,4.125,0.257812,2.45326e-06,4.78013e-07,1.97525e-06
XY,0.04,4627,37016,0.803299,0,1124.33,3275,4.11289,0.257056,2.44761e-06,4.72358e-07,1.97525e-06
XY,0.041,4619,36940,0.782097,0,984.463,3111,4.10444,0.256528,2.45311e-06,4.77854e-07,1.97525e-06
XY,0.041,4619,36940,0.782097,0,984.463,3111,4.10444,0.256528,2.45311e-06,4.77854e-07,1.97525e-06
XY,0.041,4722,37738,0.798992,0,1110.84,4058,4.19311,0.262069,2.45867e-06,4.83414e-07,1.97525e-06
XY,0.041,4722,37738,0.798992,0,1110.84,4058,4.19311,0.262069,2.45867e-06,4.83414e-07,1.97525e-06
XY,0.041,4569,36558,0.774009,0,1343.39,4226,4.062,0.253875,2.44429e-06,4.69038e-07,1.97525e-06
XY,0.042,4626,37013,0.764984,0,1219.12,3757,4.11256,0.257035,2.45347e-06,4.78215e-07,1.97525e-06
XY,0.042,4626,37013,0.764984,0,1219.12,3757,4.11256,0.257035,2.45347e-06,4.78215e-07,1.97525e-06
XY,0.042,4690,37530,0.77567,0,1165.77,3874,4.17,0.260625,2.46201e-06,4.86763e-07,1.97525e-06
XY,0.042,4670,37352,0.771991,0,1180.67,3883,4.15022,0.259389,2.45759e-06,4.8234e-07,1.97525e-06
